readname	strand	cluster
07d4f31f-231b-4ece-90f8-fdbc01c09dfd	-1	0
08b3e387-288c-4aec-a33f-f121b886e068	1	1
1009a722-ffee-49df-90c8-c01d836a0b56	-1	0
0dd1b39f-aeef-44ea-bf60-179e83d5f6c5	1	0
16c13831-97f9-4aa5-83b9-6539a2b3b40e	-1	1
110393c7-9c76-4fce-a394-fe5da028b28d	1	1
18a34e0d-e3f3-4b7f-b2b2-fe69b7ec0bfc	1	1
2adceab5-cef6-4445-844c-3db333c6daf9	-1	1
4ae27d3d-35f5-40cc-b764-1b420f145413	1	0
57fd8af0-21d5-475b-87c2-78c38d0f5cec	-1	1
7b2df59b-ac9d-46a9-b2d7-ef3ddbdd2c98	1	1
6de77c0d-e5d1-4c78-a6b9-2b1dea050abf	1	0
9e8d9380-51c3-4e8b-80bf-a8ca28fc7d5d	1	0
d5185fd0-03d1-465e-9b6a-3e8958a00df3	1	1
a661453b-4ebe-4c10-bdd0-f11584e1af14	-1	1
99ea1893-277c-4b5c-a475-97f2eef4a959	-1	1
b441326d-2113-4570-9321-09bcd283cbe6	1	1
c6335cff-d800-42eb-a463-71c7def37846	-1	1
ee5b0006-d3bf-41eb-ae57-2d8663418dee	1	1
b88d6f5b-d441-473f-9a69-cdeb8d9e5c14	-1	1
cf17cc1d-219c-4b9e-bbc4-8277aace0b49	-1	1
b5e9e07b-e84a-438a-8312-6a4cff07a249	1	1
b6792bfd-ba56-4bb3-b3dc-ac9777ae5f58	1	1
bd3d5f9d-3b96-4a15-b477-7f0c37ed049e	1	0
d1780911-83df-49b2-833a-ec5975a79389	-1	0
d2ee1f50-3c23-400d-91cb-53e291a2e5c5	1	1
f0929301-9af1-4c89-9e54-c5540f31665c	1	1
0b29f46d-436e-484e-b376-49b6e787c43e	1	1
0f258ad6-0368-43c2-a11e-5a2114a0bf4d	1	1
0c3da981-3774-498c-94a2-3be9389166bc	1	1
12e1dea4-dcf0-474f-ac8a-d075548ce484	1	1
4082fca2-a9d6-4ee1-8a2e-67ccca02f87a	1	0
31642aa2-3989-4ad9-bebb-5bb4ee91e044	-1	1
468d4a21-84e2-4de2-8d0c-4f45c6461fa7	1	1
4815ea3e-ed38-443a-8838-07da61373e24	-1	0
4e9f7e9d-9460-44dc-b2ca-5f4a19f72aff	1	0
5ec72378-cae0-4cc8-8ff0-f6074ebf7238	1	1
6270c20f-f7af-44cd-9862-522d909541e3	-1	1
651d6586-ca87-440e-b279-a03bbbeb5583	1	0
630cb9dd-ae3d-4110-b7d8-21abbafd7a9d	1	1
a9d2962e-6d51-4492-81bb-fa84fa6f7192	1	1
7b0a6f0e-2697-44af-bea1-f64516b643dc	-1	0
bd0f9683-a9f5-4d72-b92c-e0f8946a98a4	1	1
855ba468-aeed-4d4c-b096-7dd36e4151e4	1	0
81379f36-829f-428d-b063-9f076756c26c	1	0
82d4e39c-48fb-49f4-bca1-d04e38079f1b	1	1
9d990511-53c8-4e7b-b7a3-e12eee5f3d1e	1	1
982f15e5-e818-4552-95e7-f0048025bd04	1	1
cfc73c98-02fc-4985-9569-0d7f26118695	1	0
a870284d-1b36-4321-9ef1-d55eca1dc4ab	1	1
c4ffb82e-ac9c-4842-9953-c0124dac984f	1	1
da67ff83-90fb-4d6d-b299-c024f240bc01	1	1
f2e269b0-0324-46bd-a054-fb5eb17359e1	1	0
0cd089ba-a0a5-41d5-9fda-19f0427a8fe7	-1	1
f3e13abb-713e-4798-bf79-4c35698b2952	1	1
f6715bd6-b4ad-499c-b3cf-2cac453f0985	1	1
42f94cf0-6c70-432b-9610-ca33e993926b	1	1
3dfe6dea-4601-4a5a-8816-0751f67dff04	1	1
5fd61990-8868-4e7d-af53-130767297dc5	1	1
6fc1c851-a0da-43f6-92e7-fbc992dd5874	1	1
3100691d-0560-4b56-b4bc-b3c0a908c2c4	1	1
28dce0ab-e6fd-4772-8351-90a682247939	1	0
6bc3838e-48e5-4d27-ac9f-c61610fd9c0e	-1	1
56fb32ea-2abd-4b35-9ad4-e54ea3b80953	1	1
4b86e758-f48c-4294-918a-7f15b7565bc8	1	0
67e5a0fc-ca24-4438-952f-b824f615d1b3	1	0
7891536e-95f7-44a1-803e-f84f15a3081a	1	1
8321ab8a-8d27-43fd-89c5-d545f1bdbab7	1	0
e6a21d76-8c7b-4f71-b03f-24a0cf11e36d	1	1
8529e9c5-a078-4ec9-89d7-a1757586b71d	1	0
aa1902f9-6057-4b6b-b555-a704ae102e6a	1	0
f15a4eab-e811-4de4-a45e-fc5074f12ec3	1	0
c86ca90e-3a46-40c4-8242-75c49bcf2b0d	1	1
c8f92863-6489-4edc-b297-fe24b172b459	-1	0
3fa8ce71-4a18-4ec3-a865-0fe745eaa61e	1	0
7b5d0f7b-4e70-4dd9-bf37-992f37b0cc9f	1	1
a9d1ccee-e70f-453e-ba00-b4efede39a83	1	1
30ab1d96-731f-4da3-b7fa-ea5f3446c126	-1	0
09615358-2efa-429d-88e5-4dcdd461eea8	1	1
36f5c240-ed7b-4854-9034-f7e271beb42c	1	1
55a46290-fe04-4586-9fcb-18121678eb2f	-1	1
645c9f27-a03c-49d8-9bf0-36593639dbaf	1	0
c1ad10b6-4185-4018-97b3-885e8b203947	1	1
a0208577-af20-4f10-9eb1-557c73bea4de	1	0
68f80203-060c-43ec-abff-9f61e118b564	1	0
3615e080-d81a-4e35-83a9-cb3b1236d86d	1	0
39014bf7-bb2e-46ee-85bf-e88198af7bc0	-1	0
d7d4bcf9-6e42-4701-afc9-e687cc477512	1	0
e4bb04f9-fa60-4c30-95b7-746004992492	1	0
