('RPL5', '+')
('TAT2', '+')
('PEP8', '+')
('SEC6', '-')
('RQT4', '+')
('SLF1', '+')
('CBP1', '+')
('GND2', '+')
('POF1', '-')
('ASI3', '-')
('NTR2', '-')
('CBF2', '+')
('TOR2', '-')
('ENV9', '-')
('SPS22', '+')
('GRX2', '+')
('ALR2', '-')
('RSC6', '+')
('HVG1', '-')
('zz-YER039C-A', '-')
('ATG31', '-')
('RCF1', '+')
('KTR2', '+')
('ELG1', '-')
('YEF3', '+')
('TFA2', '+')
('AVL9', '-')
('COG6', '-')
('TFA1', '+')
('ERG9', '+')
('MNT4', '+')
('SAM4', '+')
('HLR1', '+')
('KRE29', '-')
('PRY1', '-')
('CLN3', '-')
('URA1', '+')
('zz-YCR050C', '-')
('STT4', '-')
('PIK1', '+')
('IZH3', '-')
('RAD16', '+')
('zz-YJL107C', '-')
('SPF1', '+')
('PUF6', '-')
('PCA1', '+')
('ERV1', '+')
('TGL4', '-')
('EMI1', '-')
('THI7', '+')
('zz-YGR201C', '-')
('ILV6', '-')
('EMC3', '+')
('PFA3', '-')
('CAP2', '-')
('NUS1', '+')
('ARR1', '-')
('TMA16', '+')
('MRE11', '-')
